DATA LEVEL,PUBLIC OR INDEPENDENT,DISTRICT NUMBER,Educators CATEGORY,GENDER,SCHOOL YEAR,Educators CNT,FULLTIME Educators CNT,PARTIME Educators CNT,TOTAL FTE,BASE SALARY,TOTAL SALARY,AVERAGE EXPERIENCE,AVERAGE AGE,CERT STANDARD,CERT PROFESSIONAL,CERT CERTIFICATE BASIC,CERT LETTER PERMISSION,EXPERIENCE LESS THAN YR,EXPERIENCE 1 TO 4 YR,EXPERIENCE 5 TO 9 YR,EXPERIENCE 10 TO 19 YR,EXPERIENCE 20 OR MORE YR,AGE GRP 20 TO 24 CNT,AGE GRP 25 TO 29 CNT,AGE GRP 30 TO 34 CNT,AGE GRP 35 TO 39 CNT,AGE GRP 40 TO 44 CNT,AGE GRP 45 TO 49 CNT,AGE GRP 50 TO 54 CNT,AGE GRP 55 TO 59 CNT,AGE GRP 60 TO 64 CNT,AGE GRP 65 AND OVER CNT
DISTRICT LEVEL,BC Public School,46,Teachers,Female,1995/1996,162,82,80,131.1,51025,51048,10.4,41.7,27,134,0,1,4,35,44,61,18,3,10,17,31,40,40,17,2,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,1996/1997,168,97,71,141.3,51654,51675,10.4,42,26,141,0,1,5,35,44,66,18,1,8,21,31,36,48,20,2,0,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,1997/1998,174,99,75,146.3,52228,52248,10.6,42.5,25,148,0,1,6,35,46,61,26,1,11,18,26,40,45,26,5,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,1998/1999,174,91,83,143.7,53478,53499,11.1,43.3,28,145,0,1,7,32,37,73,25,1,14,12,19,44,44,32,6,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,1999/2000,173,101,72,146.7,54097,54138,11.4,43.4,26,146,0,1,4,32,42,70,25,0,15,14,21,36,45,32,9,0,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2000/2001,177,106,71,150,55553,55604,12.2,44.5,23,153,0,1,3,32,44,64,34,0,12,14,19,33,46,41,11,0,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2001/2002,177,102,75,151.4,56113,56146,12.6,44.9,25,151,0,1,3,26,42,74,32,0,9,12,24,35,37,44,14,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2002/2003,182,94,88,150.8,58780,58809,12.2,45,23,158,0,1,8,24,44,75,31,1,6,17,23,33,40,42,17,2,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2003/2004,169,89,80,139.9,61341,61372,13.1,46,22,146,0,1,4,21,38,70,36,0,6,15,14,29,41,42,19,2,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2004/2005,161,86,75,137.2,61624,61663,13.5,46.8,21,139,0,1,4,16,33,72,36,0,3,12,15,22,41,48,17,2,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2005/2006,168,82,86,138.2,62363,62427,14.2,47.4,22,145,0,1,3,15,31,72,47,0,3,10,17,23,40,44,27,3,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2006/2007,166,91,75,137,63629,63651,14.2,47.5,22,143,0,1,5,15,32,66,48,0,3,10,15,27,41,33,32,4,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2007/2008,162,91,71,134.9,65709,65720,14.5,47.8,19,142,0,1,4,15,26,70,47,0,3,8,17,22,37,37,35,3,0
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2008/2009,163,88,75,130.7,68819,68917,14.6,47.8,16,145,0,2,4,16,27,67,49,1,5,7,15,22,35,45,28,4,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2009/2010,156,83,73,127.7,70958,71066,15.1,48.7,15,139,0,2,4,10,29,66,47,0,4,4,16,23,29,39,34,6,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2010/2011,159,76,83,125.6,71677,71793,14.5,47.8,16,141,0,2,2,21,28,64,44,0,3,10,18,24,27,36,31,9,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2011/2012,156,76,80,126.8,71604,71798,14.6,48.1,15,139,0,2,5,20,26,60,45,2,1,9,16,21,32,34,28,12,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2012/2013,151,78,73,123.7,71627,71807,14.4,47.8,13,136,0,2,1,23,27,58,42,1,5,8,14,22,27,37,29,7,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2013/2014,153,86,67,128.9,69712,69859,13.5,47.2,11,140,1,1,4,29,24,54,42,1,6,13,13,24,22,33,34,6,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2014/2015,156,92,64,134.1,69211,69308,,46.6,,,,,,,,,,0,9,14,15,25,23,26,33,8,3
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2015/2016,155,99,56,135,70658,70756,,46.8,,,,,,,,,,0,9,14,13,27,23,26,32,10,1
DISTRICT LEVEL,BC Public School,46,Teachers,Female,2016/2017,154,101,53,135.2,71876,72038,,46.6,,,,,,,,,,,11,13,16,23,22,29,28,11,1
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1991/1992,13,13,0,13,71700,71700,17.9,44.5,0,13,0,0,0,0,1,8,4,0,0,0,4,3,2,3,1,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1992/1993,12,12,0,12,74407,74407,18.6,44.9,0,12,0,0,0,0,1,7,4,0,0,0,1,6,2,2,1,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1993/1994,11,11,0,11,76163,76163,19.7,46.4,0,11,0,0,0,0,1,6,4,0,0,0,1,5,2,2,1,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1994/1995,10,10,0,10,75826,75826,19.8,48.9,0,10,0,0,1,0,0,4,5,0,0,0,1,2,3,1,3,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1995/1996,8,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1996/1997,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1997/1998,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1998/1999,8,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,1999/2000,10,10,0,10,76083,76083,17.7,45.5,0,10,0,0,0,0,1,5,4,0,0,0,1,3,5,,1,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2000/2001,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2001/2002,8,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2002/2003,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2003/2004,10,10,0,10,85419,85419,17.7,46,0,10,0,0,0,0,1,5,4,0,0,0,1,4,1,4,0,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2004/2005,10,10,0,10,85850,85850,21,49.3,0,10,0,0,0,0,0,4,6,0,0,0,0,2,3,4,0,0,1
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2005/2006,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2006/2007,11,11,0,11,88649,88649,21,49.8,0,11,0,0,0,0,0,6,5,0,0,0,0,3,3,4,0,0,1
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2007/2008,10,10,0,10,90619,90619,16.8,47,0,10,0,0,1,0,1,5,3,0,0,0,1,3,3,1,2,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2008/2009,10,10,0,10,100606,100606,19,48.3,0,10,0,0,0,0,1,6,3,0,0,0,0,4,2,2,2,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2009/2010,10,10,0,10,102618,102618,21.5,50.3,0,10,0,0,0,0,0,4,6,0,0,0,0,1,3,4,2,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2010/2011,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2011/2012,10,10,0,10,102243,102243,22.1,51.7,0,10,0,0,0,0,0,5,5,0,0,0,0,0,5,1,4,0,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2012/2013,9,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2013/2014,8,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2014/2015,8,Msk,Msk,Msk,Msk,Msk,,Msk,,,,,,,,,,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2015/2016,10,10,0,10,99448,99448,,52.4,,,,,,,,,,0,0,0,0,0,3,4,2,1,0
DISTRICT LEVEL,BC Public School,46,Administrators,Male,2016/2017,8,Msk,Msk,Msk,Msk,Msk,,Msk,,,,,,,,,,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk,Msk
DISTRICT LEVEL,BC Public School,46,Educators,Male,1991/1992,96,89,7,93,48352,48438,13.5,42.2,5,91,0,0,2,14,15,43,22,0,2,10,27,22,17,16,1,1,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,1992/1993,96,84,12,91.4,54496,54640,13.7,42.5,5,91,0,0,3,15,14,41,23,0,3,10,22,24,19,15,2,1,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,1993/1994,99,88,11,94.8,56136,56293,14.7,43.5,5,94,0,0,2,15,15,38,29,0,5,9,18,25,18,17,4,2,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,1994/1995,94,85,9,91.3,56786,56878,15.6,44.3,4,90,0,0,1,10,19,34,30,0,1,10,15,23,18,18,7,1,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,1995/1996,96,82,14,90.2,56093,56184,15,44.4,5,91,0,0,2,9,18,36,31,0,3,9,13,25,20,15,7,3,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,1996/1997,101,84,17,92.3,57139,57222,15.1,44.9,6,95,0,0,1,10,20,35,35,0,3,7,15,27,21,14,10,2,2
DISTRICT LEVEL,BC Public School,46,Educators,Male,1997/1998,101,80,21,94.1,56653,56777,14.9,45.2,7,94,0,0,1,12,23,31,34,0,4,8,12,25,21,16,11,2,2
DISTRICT LEVEL,BC Public School,46,Educators,Male,1998/1999,103,77,26,93.8,57898,58044,15.4,45.4,7,96,0,0,0,13,19,34,37,0,4,7,14,26,22,16,10,2,2
DISTRICT LEVEL,BC Public School,46,Educators,Male,1999/2000,100,70,30,89.4,58613,58694,14.4,45.1,5,95,0,0,2,11,22,34,31,0,2,8,10,23,30,15,10,1,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,2000/2001,102,76,26,92.8,59448,59532,15.2,46,4,98,0,0,3,11,17,33,38,0,3,5,10,20,32,17,11,4,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2001/2002,100,72,28,89.1,60487,60536,15.6,46.6,4,96,0,0,2,8,19,34,37,0,0,5,14,17,32,19,10,3,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2002/2003,96,71,25,87.9,62557,62557,14.6,46,5,91,0,0,2,12,15,35,32,0,1,7,9,20,25,24,9,1,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2003/2004,93,72,21,85.2,64708,64714,15.1,46.3,4,89,0,0,3,10,15,32,33,0,3,5,9,17,27,22,9,1,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2004/2005,86,69,17,80.7,65558,65577,16.2,48,4,82,0,0,1,10,12,30,33,0,0,3,8,11,22,29,10,2,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,2005/2006,89,67,22,82.1,65252,65314,16,47.7,4,85,0,0,1,11,12,31,34,0,2,5,4,12,23,31,10,1,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,2006/2007,93,71,22,86.8,67434,67452,16,47.8,5,88,0,0,2,12,12,31,36,0,2,4,8,15,18,31,13,1,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,2007/2008,87,68,19,81.3,69534,69560,15,47.7,5,82,0,0,1,11,16,31,28,0,2,2,11,13,17,25,17,0,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2008/2009,84,65,19,78.3,73842,73922,15.5,48.2,5,79,0,0,1,10,16,29,28,0,1,3,10,16,12,25,14,3,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2009/2010,84,63,21,78.2,76513,76595,16.7,49.2,4,80,0,0,1,6,15,29,33,0,2,1,5,14,14,24,21,3,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2010/2011,79,60,19,73,77692,78023,17.1,49.5,4,75,0,0,0,6,14,28,31,0,0,4,5,9,15,20,24,2,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2011/2012,82,62,20,76,77342,77454,16.8,49.3,4,78,0,0,0,7,14,29,32,0,1,4,4,12,18,17,22,4,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2012/2013,77,57,20,70.5,77499,77637,17.1,49.4,4,73,0,0,0,7,11,27,32,0,1,4,5,12,14,15,20,5,1
DISTRICT LEVEL,BC Public School,46,Educators,Male,2013/2014,75,55,20,68.8,76488,76574,16.3,48.9,5,70,0,0,2,8,10,26,29,0,2,5,6,10,16,12,19,5,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2014/2015,77,54,23,70.7,75349,75497,,48.1,,,,,,,,,,0,3,5,8,7,16,14,16,8,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2015/2016,80,63,17,74.4,75793,75977,,47.8,,,,,,,,,,0,3,5,10,5,18,16,16,7,0
DISTRICT LEVEL,BC Public School,46,Educators,Male,2016/2017,72,57,15,67.7,77906,78086,,47.5,,,,,,,,,,,3,6,7,5,18,15,13,5,
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1991/1992,83,76,7,80,44557,44657,12.8,41.8,5,78,0,0,2,14,14,35,18,0,2,10,23,19,15,13,0,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1992/1993,84,72,12,79.4,51486,51651,13,42.1,5,79,0,0,3,15,13,34,19,0,3,10,21,18,17,13,1,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1993/1994,88,77,11,83.8,53509,53686,14.1,43.2,5,83,0,0,2,15,14,32,25,0,5,9,17,20,16,15,3,2,1
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1994/1995,84,75,9,81.3,54444,54547,15.1,43.8,4,80,0,0,0,10,19,30,25,0,1,10,14,21,15,17,4,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1995/1996,88,74,14,82.2,54014,54114,14.4,44,5,83,0,0,2,9,18,34,25,0,3,9,13,24,15,15,6,2,1
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1996/1997,92,75,17,83.3,54911,55003,14.6,44.7,6,86,0,0,1,10,18,34,29,0,3,7,13,26,18,13,9,1,2
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1997/1998,92,71,21,85.1,54506,54643,14.6,45.1,7,85,0,0,1,11,21,30,29,0,3,8,10,25,18,15,10,1,2
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1998/1999,95,69,26,85.8,56080,56240,15.1,45.5,7,88,0,0,0,13,17,33,32,0,4,6,12,26,19,15,9,2,2
DISTRICT LEVEL,BC Public School,46,Teachers,Male,1999/2000,90,60,30,79.4,56413,56504,14,45.1,5,85,0,0,2,11,21,29,27,0,2,8,9,20,25,15,9,1,1
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2000/2001,93,67,26,83.8,57380,57473,14.8,45.9,4,89,0,0,3,11,16,30,33,0,3,5,9,18,29,15,10,4,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2001/2002,92,64,28,81.1,58631,58685,15.5,46.7,4,88,0,0,2,8,17,31,34,0,0,5,12,15,29,18,10,3,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2002/2003,87,62,25,78.9,60091,60091,14.2,45.9,5,82,0,0,2,12,14,31,28,0,1,7,9,16,25,20,8,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2003/2004,83,62,21,75.2,61952,61959,14.8,46.3,4,79,0,0,3,10,14,27,29,0,3,5,8,13,26,18,9,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2004/2005,76,59,17,70.7,62689,62711,15.5,47.9,4,72,0,0,1,10,12,26,27,0,0,3,8,9,19,25,10,2,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2005/2006,80,58,22,73.1,62624,62694,15.3,47.4,4,76,0,0,1,11,12,27,29,0,2,5,4,10,20,28,10,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2006/2007,82,60,22,75.8,64357,64377,15.3,47.6,5,77,0,0,2,12,12,25,31,0,2,4,8,12,15,27,13,1,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2007/2008,77,58,19,71.3,66579,66609,14.8,47.8,5,72,0,0,0,11,15,26,25,0,2,2,10,10,14,24,15,0,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2008/2009,74,55,19,68.3,69925,70017,15,48.1,5,69,0,0,1,10,15,23,25,0,1,3,10,12,10,23,12,3,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2009/2010,74,53,21,68.2,72683,72777,16.1,49,4,70,0,0,1,6,15,25,27,0,2,1,5,13,11,20,19,3,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2010/2011,70,51,19,64,74124,74501,16.3,49.2,4,66,0,0,0,6,14,24,26,0,0,4,5,9,11,18,21,2,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2011/2012,72,52,20,66,73567,73695,16,48.9,4,68,0,0,0,7,14,24,27,0,1,4,4,12,13,16,18,4,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2012/2013,68,48,20,61.5,73735,73893,16.4,49.1,4,64,0,0,0,7,11,23,27,0,1,4,5,12,10,13,17,5,1
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2013/2014,67,47,20,60.8,72897,72995,16,48.6,5,62,0,0,2,8,9,22,26,0,2,5,6,9,12,11,17,5,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2014/2015,69,46,23,62.7,72217,72382,,47.7,,,,,,,,,,0,3,5,8,7,13,11,15,7,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2015/2016,70,53,17,64.4,72414,72624,,47.2,,,,,,,,,,0,3,5,10,5,15,12,14,6,0
DISTRICT LEVEL,BC Public School,46,Teachers,Male,2016/2017,64,49,15,59.7,74248,74450,,46.8,,,,,,,,,,,3,6,7,5,17,11,12,3,
DISTRICT LEVEL,BC Public School,47,Administrators,All,1991/1992,17,17,0,17,57021,69708,17.8,45.4,0,17,0,0,0,1,0,10,6,0,0,1,2,6,5,2,0,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1992/1993,17,17,0,17,58537,73222,18.8,46.4,0,17,0,0,0,1,0,9,7,0,0,1,0,6,5,3,1,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1993/1994,25,25,0,25,57829,70411,18.9,46.4,2,23,0,0,0,1,0,15,9,0,0,1,1,7,11,2,2,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1994/1995,25,25,0,25,58910,70681,19.9,47.4,2,23,0,0,0,0,1,12,12,0,0,0,2,5,10,5,2,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1995/1996,24,24,0,24,59511,71510,21.1,48.9,2,22,0,0,0,0,1,5,18,0,0,0,0,5,9,7,2,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1996/1997,25,25,0,25,60998,73665,18.5,47.9,2,23,0,0,2,1,2,4,16,0,0,1,0,7,8,8,0,0,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,1997/1998,25,25,0,25,60998,73808,19.5,48.9,2,23,0,0,0,2,2,4,17,0,0,0,1,3,10,8,2,0,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,1998/1999,22,22,0,22,61608,74866,22.3,49.8,2,20,0,0,0,1,0,4,17,0,0,0,0,2,8,10,2,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,1999/2000,21,21,0,21,61782,74106,20.6,48.8,2,19,0,0,0,1,1,5,14,0,0,1,0,2,7,8,3,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2000/2001,16,16,0,16,63645,78081,23.9,51.3,2,14,0,0,0,0,0,2,14,0,0,0,0,0,5,8,3,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2001/2002,16,16,0,16,63645,78081,24.9,52.3,2,14,0,0,0,0,0,2,14,0,0,0,0,0,5,7,4,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2002/2003,15,15,0,15,66794,83034,24.9,51.6,2,13,0,0,0,0,0,2,13,0,0,1,0,0,2,8,4,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2003/2004,14,14,0,14,68806,85387,25.6,52.1,2,12,0,0,0,0,0,2,12,0,0,0,1,0,2,5,6,0,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2004/2005,16,15,1,15.8,68903,84189,21.9,49.9,2,14,0,0,0,2,1,2,11,0,0,2,1,0,2,4,6,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2005/2006,17,17,0,17,68957,84635,19.9,48.4,2,15,0,0,0,3,2,2,10,0,0,2,2,1,2,5,4,1,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2006/2007,18,18,0,18,70624,85045,20.1,48.8,2,16,0,0,0,1,5,2,10,0,0,2,2,2,2,5,3,2,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2007/2008,17,17,0,17,73066,88543,20.8,50.1,1,16,0,0,0,0,5,2,10,0,0,0,3,2,3,2,5,2,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2008/2009,17,17,0,17,76738,92596,19.9,49.6,1,16,0,0,0,1,5,2,9,0,0,1,3,2,1,3,4,3,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2009/2010,16,16,0,16,78579,95068,20.4,50.4,1,15,0,0,0,1,4,3,8,0,0,1,3,2,1,1,5,2,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2010/2011,15,15,0,15,80062,101542,18.9,49.3,0,15,0,0,0,1,4,4,6,0,0,0,3,3,2,1,4,1,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2011/2012,14,14,0,14,79960,99923,18.4,49.4,0,14,0,0,0,0,2,7,5,0,0,0,3,2,2,2,3,1,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2012/2013,13,13,0,13,80248,99944,17.5,48.1,0,13,0,0,0,0,1,9,3,0,0,0,1,4,3,2,1,2,0
DISTRICT LEVEL,BC Public School,47,Administrators,All,2013/2014,12,12,0,12,80145,100253,17.7,48.3,0,12,0,0,0,0,1,8,3,0,0,0,1,4,3,1,1,1,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2014/2015,19,11,8,14,100371,100371,,48.4,,,,,,,,,,0,0,0,1,6,6,3,0,2,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2015/2016,19,7,12,12,100288,100288,,47.4,,,,,,,,,,0,0,0,0,7,8,1,2,0,1
DISTRICT LEVEL,BC Public School,47,Administrators,All,2016/2017,20,8,12,13,104581,104581,,47.2,,,,,,,,,,,,1,1,7,7,1,2,,1
DISTRICT LEVEL,BC Public School,47,Educators,All,1991/1992,214,178,36,198.4,49031,50397,14.7,44.4,25,181,7,1,11,25,28,86,64,4,10,9,27,53,57,30,21,3,0
DISTRICT LEVEL,BC Public School,47,Educators,All,1992/1993,212,171,41,194,50513,52089,14.6,44.5,27,179,5,1,10,29,25,84,64,4,11,12,26,47,55,32,19,6,0
DISTRICT LEVEL,BC Public School,47,Educators,All,1993/1994,205,162,43,188.4,52607,54482,15.9,45.6,26,173,5,1,0,27,31,71,76,2,10,9,28,32,60,34,19,11,0
DISTRICT LEVEL,BC Public School,47,Educators,All,1994/1995,206,162,44,187.3,53810,55576,16.3,46,27,173,4,2,5,17,36,70,78,4,9,9,22,26,62,41,26,7,0
DISTRICT LEVEL,BC Public School,47,Educators,All,1995/1996,207,161,46,187.5,54053,55777,16.6,46.6,26,176,3,2,8,12,35,59,93,2,6,14,14,32,56,45,30,8,0
DISTRICT LEVEL,BC Public School,47,Educators,All,1996/1997,215,163,52,194.5,54467,56334,15.5,46.1,29,181,2,3,7,24,37,55,92,0,13,17,13,37,50,55,19,10,1
DISTRICT LEVEL,BC Public School,47,Educators,All,1997/1998,216,165,51,196.9,54771,56630,15.6,46.5,27,184,2,3,6,27,37,51,95,0,11,17,17,31,48,63,18,10,1
DISTRICT LEVEL,BC Public School,47,Educators,All,1998/1999,209,149,60,184.9,55299,57110,15.8,46.5,24,180,2,3,3,26,36,52,92,1,11,16,16,30,37,68,22,7,1
DISTRICT LEVEL,BC Public School,47,Educators,All,1999/2000,210,149,61,183.7,55063,56734,15.3,46.2,21,183,2,4,8,23,38,57,84,1,9,21,17,30,32,68,28,4,0
DISTRICT LEVEL,BC Public School,47,Educators,All,2000/2001,220,143,77,183.7,55734,57314,15,46.1,26,189,0,5,16,21,38,59,86,1,12,23,17,28,34,65,34,6,0
DISTRICT LEVEL,BC Public School,47,Educators,All,2001/2002,207,144,63,176.5,55819,57447,15.5,46.6,23,179,0,5,6,32,30,59,80,0,12,21,17,23,35,53,40,6,0
DISTRICT LEVEL,BC Public School,47,Educators,All,2002/2003,186,144,42,168.5,58118,59804,14.3,46,21,160,0,5,10,30,31,55,60,3,10,19,17,23,32,43,33,6,0
DISTRICT LEVEL,BC Public School,47,Educators,All,2003/2004,171,132,39,155.1,60672,62451,15.5,47.3,18,149,0,4,2,26,25,60,58,1,5,14,18,19,34,36,38,6,0
